Name,Links,Cost,Collections,Cuisines,Timings,Cuisine_Count,Is_Hygiene_Rated,Restaurant,Average_Rating,Total_Reviews_Count,Price_Segment
Beyond Flavours,https://www.zomato.com/hyderabad/beyond-flavours-gachibowli,800.0,"Food Hygiene Rated Restaurants in Hyderabad, Corporate Favorites, Great Buffets, Top-Rated, Gold Curated, Live Sports Screenings","Chinese, Continental, Kebab, European, South Indian, North Indian","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)",6,1,Beyond Flavours,4.28,100.0,1
Paradise,https://www.zomato.com/hyderabad/paradise-gachibowli,800.0,Hyderabad's Hottest,"Biryani, North Indian, Chinese",11 AM to 11 PM,3,0,Paradise,4.7,100.0,1
Flechazo,https://www.zomato.com/hyderabad/flechazo-gachibowli,1300.0,"Great Buffets, Hyderabad's Hottest","Asian, Mediterranean, North Indian, Desserts","11:30 AM to 4:30 PM, 6:30 PM to 11 PM",4,0,Flechazo,4.66,100.0,2
Shah Ghouse Hotel & Restaurant,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli,800.0,Late Night Restaurants,"Biryani, North Indian, Chinese, Seafood, Beverages",12 Noon to 2 AM,5,0,Shah Ghouse Hotel & Restaurant,3.21,100.0,1
Over The Moon Brew Company,https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli,1200.0,"Best Bars & Pubs, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated, Hyderabad's Hottest","Asian, Continental, North Indian, Chinese, Mediterranean","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",5,1,Over The Moon Brew Company,4.34,100.0,2
The Fisherman's Wharf,https://www.zomato.com/hyderabad/the-fishermans-wharf-gachibowli,1500.0,"Sunday Brunches, Corporate Favorites, Great Buffets, Hyderabad's Hottest, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated","Seafood, Goan, North Indian, Continental, Asian","12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 12Midnight (Fri-Sat)",5,1,The Fisherman's Wharf,4.22,100.0,2
eat.fit,https://www.zomato.com/hyderabad/eat-fit-gachibowli,500.0,Food Hygiene Rated Restaurants in Hyderabad,"Healthy Food, North Indian, Continental, South Indian",7 AM to 10 PM,4,1,eat.fit,3.2,100.0,0
Shah Ghouse Spl Shawarma,https://www.zomato.com/hyderabad/shah-ghouse-spl-shawarma-gachibowli,300.0,,Lebanese,12 Noon to 12 Midnight,1,0,Shah Ghouse Spl Shawarma,3.43,100.0,0
Hyper Local,https://www.zomato.com/hyderabad/hyper-local-gachibowli,1000.0,"Great Buffets, Live Sports Screenings, Best Bars & Pubs, Trending This Week","American, Chinese, North Indian, Kebab, South Indian",12 Noon to 12 Midnight,5,0,Hyper Local,3.64,100.0,1
Cream Stone,https://www.zomato.com/hyderabad/cream-stone-gachibowli,350.0,Frozen Delights,"Ice Cream, Desserts","10 AM to 1 AM (Mon-Thu), 10 AM to 1:30 AM (Fri-Sun)",2,0,Cream Stone,3.845,100.0,0
Sardarji's Chaats & More,https://www.zomato.com/hyderabad/sardarjis-chaats-more-gachibowli,400.0,"Street Food, Veggie Friendly, Pocket Friendly","Street Food, North Indian, Fast Food","12 Noon to 3:30 PM, 7 PM to 10:30 PM",3,0,Sardarji's Chaats & More,3.25,100.0,0
Barbeque Nation,https://www.zomato.com/hyderabad/barbeque-nation-gachibowli,1600.0,Barbecue & Grill,"Mediterranean, North Indian, Kebab, BBQ","12 Noon to 3:30 PM, 6:30 PM to 11:30 PM",4,0,Barbeque Nation,4.12,100.0,2
Absolute Sizzlers,https://www.zomato.com/hyderabad/absolute-sizzlers-gachibowli,750.0,Great Buffets,"Continental, American, Chinese",11:30 AM to 1 AM,3,0,Absolute Sizzlers,3.62,100.0,1
The Lal Street - Bar Exchange,https://www.zomato.com/hyderabad/the-lal-street-bar-exchange-gachibowli,1300.0,"Corporate Favorites, Happy Hours, Live Sports Screenings, Rooftops, Trending This Week","North Indian, Italian, Finger Food",12noon to 12midnight (Mon-Sun),3,0,The Lal Street - Bar Exchange,3.45,100.0,2
