Name,Links,Cost,Collections,Cuisines,Timings,Cuisine_Count,Is_Hygiene_Rated,Restaurant,Average_Rating,Total_Reviews_Count,Price_Segment
Beyond Flavours,https://www.zomato.com/hyderabad/beyond-flavours-gachibowli,-0.12099035029742296,"Food Hygiene Rated Restaurants in Hyderabad, Corporate Favorites, Great Buffets, Top-Rated, Gold Curated, Live Sports Screenings","Chinese, Continental, Kebab, European, South Indian, North Indian","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)",2.509558063605057,1,Beyond Flavours,1.3724112656724925,0.13986312800448225,1
Paradise,https://www.zomato.com/hyderabad/paradise-gachibowli,-0.12099035029742296,Hyderabad's Hottest,"Biryani, North Indian, Chinese",11 AM to 11 PM,0.015833173902870964,0,Paradise,2.224051831529296,0.13986312800448225,1
Flechazo,https://www.zomato.com/hyderabad/flechazo-gachibowli,0.863814826542066,"Great Buffets, Hyderabad's Hottest","Asian, Mediterranean, North Indian, Desserts","11:30 AM to 4:30 PM, 6:30 PM to 11 PM",0.8470748038035996,0,Flechazo,2.1429432062096003,0.13986312800448225,2
Shah Ghouse Hotel & Restaurant,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli,-0.12099035029742296,Late Night Restaurants,"Biryani, North Indian, Chinese, Seafood, Beverages",12 Noon to 2 AM,1.6783164337043284,0,Shah Ghouse Hotel & Restaurant,-0.7972444616293648,0.13986312800448225,1
Over The Moon Brew Company,https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli,0.6668537911741682,"Best Bars & Pubs, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated, Hyderabad's Hottest","Asian, Continental, North Indian, Chinese, Mediterranean","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",1.6783164337043284,1,Over The Moon Brew Company,1.4940742036520351,0.13986312800448225,2
The Fisherman's Wharf,https://www.zomato.com/hyderabad/the-fishermans-wharf-gachibowli,1.2577368972778615,"Sunday Brunches, Corporate Favorites, Great Buffets, Hyderabad's Hottest, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated","Seafood, Goan, North Indian, Continental, Asian","12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 12Midnight (Fri-Sat)",1.6783164337043284,1,The Fisherman's Wharf,1.2507483276929483,0.13986312800448225,2
eat.fit,https://www.zomato.com/hyderabad/eat-fit-gachibowli,-0.7118734564011163,Food Hygiene Rated Restaurants in Hyderabad,"Healthy Food, North Indian, Continental, South Indian",7 AM to 10 PM,0.8470748038035996,1,eat.fit,-0.8175216179592882,0.13986312800448225,0
Shah Ghouse Spl Shawarma,https://www.zomato.com/hyderabad/shah-ghouse-spl-shawarma-gachibowli,-1.1057955271369118,,Lebanese,12 Noon to 12 Midnight,-1.6466500858985864,0,Shah Ghouse Spl Shawarma,-0.35114702237103873,0.13986312800448225,0
Hyper Local,https://www.zomato.com/hyderabad/hyper-local-gachibowli,0.2729317204383726,"Great Buffets, Live Sports Screenings, Best Bars & Pubs, Trending This Week","American, Chinese, North Indian, Kebab, South Indian",12 Noon to 12 Midnight,1.6783164337043284,0,Hyper Local,0.07467326055736302,0.13986312800448225,1
Cream Stone,https://www.zomato.com/hyderabad/cream-stone-gachibowli,-1.007315009452963,Frozen Delights,"Ice Cream, Desserts","10 AM to 1 AM (Mon-Thu), 10 AM to 1:30 AM (Fri-Sun)",-0.8154084559978577,0,Cream Stone,0.490354965320803,0.13986312800448225,0
Sardarji's Chaats & More,https://www.zomato.com/hyderabad/sardarjis-chaats-more-gachibowli,-0.9088344917690141,"Street Food, Veggie Friendly, Pocket Friendly","Street Food, North Indian, Fast Food","12 Noon to 3:30 PM, 7 PM to 10:30 PM",0.015833173902870964,0,Sardarji's Chaats & More,-0.7161358363096691,0.13986312800448225,0
Barbeque Nation,https://www.zomato.com/hyderabad/barbeque-nation-gachibowli,1.4546979326457592,Barbecue & Grill,"Mediterranean, North Indian, Kebab, BBQ","12 Noon to 3:30 PM, 6:30 PM to 11:30 PM",0.8470748038035996,0,Barbeque Nation,1.04797676439371,0.13986312800448225,2
Absolute Sizzlers,https://www.zomato.com/hyderabad/absolute-sizzlers-gachibowli,-0.21947086798137183,Great Buffets,"Continental, American, Chinese",11:30 AM to 1 AM,0.015833173902870964,0,Absolute Sizzlers,0.03411894789751519,0.13986312800448225,1
The Lal Street - Bar Exchange,https://www.zomato.com/hyderabad/the-lal-street-bar-exchange-gachibowli,0.863814826542066,"Corporate Favorites, Happy Hours, Live Sports Screenings, Rooftops, Trending This Week","North Indian, Italian, Finger Food",12noon to 12midnight (Mon-Sun),0.015833173902870964,0,The Lal Street - Bar Exchange,-0.3105927097111909,0.13986312800448225,2
AB's - Absolute Barbecues,https://www.zomato.com/hyderabad/abs-absolute-barbecues-gachibowli,1.2577368972778615,"Barbecue & Grill, Great Buffets, Corporate Favorites, Hyderabad's Hottest","European, Mediterranean, North Indian","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM",0.015833173902870964,0,AB's - Absolute Barbecues,2.5890406454679256,0.13986312800448225,2
KFC,https://www.zomato.com/hyderabad/kfc-gachibowli,-0.7118734564011163,,"Burger, Fast Food",11 AM to 11 PM,-0.8154084559978577,0,KFC,-1.5272220895066249,0.13986312800448225,0
NorFest - The Dhaba,https://www.zomato.com/hyderabad/norfest-the-dhaba-gachibowli,-0.6133929387171674,,North Indian,12 Noon to 10:30 PM,-1.6466500858985864,0,NorFest - The Dhaba,0.8654823574243952,0.13986312800448225,0
Hotel Zara Hi-Fi,https://www.zomato.com/hyderabad/hotel-zara-gachibowli,-0.9088344917690141,,"Chinese, North Indian",11:30 AM to 1 AM,-0.8154084559978577,0,Hotel Zara Hi-Fi,-2.4396941243532004,0.13986312800448225,0
10 Downing Street,https://www.zomato.com/hyderabad/10-downing-street-gachibowli,2.0455810387494524,Trending This Week,"North Indian, Chinese, Continental",12 Noon to 12 Midnight,0.015833173902870964,0,10 Downing Street,0.3991077618361447,0.13986312800448225,2
Pakwaan Grand,https://www.zomato.com/hyderabad/pakwaan-grand-gachibowli,-0.9088344917690141,Trending This Week,"North Indian, Chinese, Biryani",12 Noon to 11 PM,0.015833173902870964,0,Pakwaan Grand,-1.8111022781255597,0.13986312800448225,0
13 Dhaba,https://www.zomato.com/hyderabad/13-dhaba-gachibowli,-0.8103539740850652,Veggie Friendly,North Indian,"12:30 PM to 10 PM (Tue-Sun), Mon Closed",-1.6466500858985864,0,13 Dhaba,-0.2497612407214196,0.13986312800448225,0
Jonathan's Kitchen - Holiday Inn Express & Suites,https://www.zomato.com/hyderabad/jonathans-kitchen-holiday-inn-express-suites-gachibowli,2.0455810387494524,"Great Italian, Sunday Brunches","North Indian, Japanese, Italian, Salad, Sushi","11:30 AM to 3 PM, 7 PM to 11 PM",1.6783164337043284,0,Jonathan's Kitchen - Holiday Inn Express & Suites,-0.13823688090683786,0.13986312800448225,2
B-Dubs,https://www.zomato.com/hyderabad/b-dubs-gachibowli,1.4546979326457592,Hyderabad's Hottest,American,"11am to 11:30pm (Mon, Tue, Wed, Thu, Sun), 11am to 12midnight (Fri-Sat)",-1.6466500858985864,0,B-Dubs,2.447100551158458,0.13986312800448225,2
Amul,https://www.zomato.com/hyderabad/amul-gachibowli,-1.4012370801887586,,"Ice Cream, Desserts",10 AM to 5 AM,-0.8154084559978577,0,Amul,0.6829879504550795,0.13986312800448225,0
SKYHY,https://www.zomato.com/hyderabad/skyhy-gachibowli,1.0607758619099636,"Live Sports Screenings, Gigs and Events","North Indian, Chinese, Continental","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",0.015833173902870964,0,SKYHY,-0.4728099603505822,0.13986312800448225,2
